epoch,loss,psnr_train_cover,psnr_train_secret
1,1188.1961475679243,49.42795608043671,60.20856266021728
2,103.46533334666285,50.97894413471222,62.44287476539612
3,71.50230797953989,52.09695734977722,63.65973711013794
4,59.338676408789624,52.9449490070343,64.69236721992493
5,53.68511805041083,53.42013502120972,65.30948233604431
6,48.24441565590343,53.829658889770506,65.66952948570251
7,47.393588142833494,54.09809789657593,65.91012401580811
8,44.291247883062255,54.31568298339844,65.99183125495911
9,40.90190306477163,54.53574509620667,66.25960459709168
10,43.85249012914197,54.74671983718872,66.37816429138184
11,41.28740600059773,54.823237657547,66.40152034759521
12,41.95791031848425,54.80054950714111,66.12397789955139
13,38.982155109273975,55.04835553169251,66.41345443725587
14,36.90931831009087,55.06220669746399,66.38159804344177
15,39.875557077342066,55.07971720695495,65.88170938491821
16,41.65992581159219,54.11031756401062,65.78937153816223
17,41.740515829502854,55.15492067337036,66.33293900489807
18,38.254161681251965,55.05654792785644,63.86194181442261
19,47.10157813148937,55.070508050918576,66.24544229507447
20,45.66165562333732,54.02175545692444,66.23363637924194
21,39.518684957219264,55.351204776763915,66.54369473457336
22,40.441175504662525,55.31911034584046,66.31920971870423
23,42.739338535001906,55.31283278465271,66.4888346195221
24,38.75558074863478,55.51361660957336,66.51119999885559
25,40.96760806818118,51.814463472366334,66.17059254646301
26,43.650961645718276,55.2195020198822,66.0278419494629
27,40.693228622962685,55.27330965995789,65.81570935249329
28,38.821863284056214,54.55561871528626,61.69086866378784
29,45.04482008396894,55.300064945220946,65.85467834472657
30,44.31305166222583,55.190625238418576,66.50262250900269
