epoch,train_loss,psnr_s,psnr_c
1,269.6274473694549,0.0,0.0
2,284.9469854420629,0.0,0.0
3,278.7848084548424,0.0,0.0
4,243.87645204039825,0.0,0.0
5,253.17600978105918,0.0,0.0
6,257.9815678212835,0.0,0.0
7,265.9863572394711,0.0,0.0
8,253.73372650146484,0.0,0.0
9,258.1025761571424,0.0,0.0
10,274.1911607939621,0.0,0.0
11,281.4515626403107,0.0,0.0
12,252.30268579241874,0.0,0.0
13,249.0417569039882,0.0,0.0
14,257.02053148993133,0.0,0.0
15,247.48309940031206,0.0,0.0
16,250.1336186726888,0.0,0.0
17,241.70038946743668,0.0,0.0
18,243.58604176839194,0.0,0.0
19,262.471913217128,0.0,0.0
20,257.24277557723826,0.0,0.0
21,258.41696386227665,0.0,0.0
22,249.85579365697401,0.0,0.0
23,253.21918066616715,0.0,0.0
24,258.4673091844581,0.0,0.0
25,247.54333557479683,0.0,0.0
26,251.77353874294238,0.0,0.0
27,286.6378105426657,0.0,0.0
28,232.9705942965102,0.0,0.0
29,259.35954670522403,0.0,0.0
30,240.12723813111754,48.217933214584136,46.03845513494519
31,249.5934339501392,48.217933214584136,46.03845513494519
32,255.81150695099228,48.217933214584136,46.03845513494519
33,243.42991401409282,48.217933214584136,46.03845513494519
34,251.21229982924189,48.217933214584136,46.03845513494519
35,253.13729341002716,48.217933214584136,46.03845513494519
36,239.241595388829,48.217933214584136,46.03845513494519
37,242.94678646394576,48.217933214584136,46.03845513494519
38,237.47858446493916,48.217933214584136,46.03845513494519
39,248.73587088749326,48.217933214584136,46.03845513494519
40,245.4383657170438,48.217933214584136,46.03845513494519
41,234.60403231916757,48.217933214584136,46.03845513494519
