img_name,psnr_c,psnr_r,ssim_c,ssim_r,ssim_avg
0001.png,58.764690,71.723409,0.999656,0.999984,0.999820
0002.png,56.040053,71.432774,0.999025,0.999986,0.999506
0003.png,56.820776,72.899432,0.999054,0.999995,0.999524
0004.png,54.217212,68.910770,0.999372,0.999966,0.999669
0005.png,57.861964,71.456166,0.999605,0.999992,0.999798
0006.png,51.712360,67.172496,0.998985,0.999735,0.999360
0007.png,39.986776,54.169471,0.993107,0.993829,0.993468
0008.png,53.411611,69.217064,0.998779,0.999956,0.999368
0009.png,59.758775,73.041216,0.999701,0.999992,0.999846
0010.png,59.847772,73.204183,0.999929,0.999992,0.999960
0011.png,58.800913,75.679979,0.999696,0.999995,0.999846
0012.png,56.199633,66.034784,0.999367,0.999986,0.999676
0013.png,58.982704,70.798165,0.999772,0.999984,0.999878
0014.png,55.846736,71.107175,0.999697,0.999977,0.999837
0015.png,55.301329,68.584170,0.999226,0.999953,0.999590
0016.png,57.672028,67.093282,0.999478,0.999986,0.999732
0017.png,56.644145,69.196899,0.999465,0.999980,0.999722
0018.png,52.742660,66.537074,0.999445,0.999789,0.999617
0019.png,55.329595,71.339292,0.999437,0.999986,0.999712
0020.png,56.102735,71.588191,0.999555,0.999995,0.999775
0021.png,57.199998,73.415254,0.999437,0.999992,0.999714
0022.png,55.698683,70.058588,0.999488,0.999995,0.999741
0023.png,53.038292,68.893457,0.998903,0.999926,0.999415
0024.png,54.309473,66.776059,0.999620,0.999948,0.999784
0025.png,56.875398,68.607989,0.999725,0.999977,0.999851
0026.png,54.001707,68.812107,0.999592,0.999968,0.999780
0027.png,61.672590,69.944537,0.999697,0.999990,0.999844
0028.png,47.073040,61.203354,0.999165,0.999261,0.999213
0029.png,55.443262,70.548781,0.999429,0.999985,0.999707
0030.png,52.031171,69.444533,0.999063,0.999869,0.999466
0031.png,58.340771,71.385782,0.999544,0.999994,0.999769
0032.png,58.811768,69.078184,0.999490,0.999991,0.999740
0033.png,60.486353,72.669679,0.999579,0.999992,0.999785
0034.png,57.629493,70.264610,0.999626,0.999974,0.999800
0035.png,50.748577,66.919170,0.999355,0.999856,0.999606
0036.png,55.236600,66.956409,0.999473,0.999976,0.999724
0037.png,56.872649,70.617500,0.999690,0.999977,0.999834
0038.png,59.026634,73.050635,0.999229,0.999993,0.999611
0039.png,56.385928,75.676839,0.999484,0.999998,0.999741
0040.png,60.611899,66.994500,0.999758,0.999983,0.999870
0041.png,56.447921,68.435931,0.999670,0.999971,0.999821
