img_name,psnr_c,psnr_r,ssim_c,ssim_r,ssim_avg
00001.png,59.748244,71.901947,0.999744,0.999984,0.999864
00002.png,56.370869,71.576271,0.999135,0.999985,0.999560
00003.png,57.639000,72.747718,0.999299,0.999995,0.999647
00004.png,54.564469,68.854793,0.999454,0.999970,0.999712
00005.png,59.144365,72.058708,0.999709,0.999994,0.999851
00006.png,51.465567,66.997902,0.999017,0.999721,0.999369
00007.png,39.495454,54.101832,0.992485,0.993582,0.993033
00008.png,53.669742,69.102290,0.998961,0.999953,0.999457
00009.png,61.036548,73.475805,0.999784,0.999993,0.999889
00010.png,61.292723,73.445190,0.999954,0.999994,0.999974
00011.png,59.676491,76.149698,0.999758,0.999996,0.999877
00012.png,56.790818,65.885626,0.999462,0.999987,0.999724
00013.png,59.895843,70.959047,0.999832,0.999985,0.999909
00014.png,56.284497,71.201337,0.999752,0.999976,0.999864
00015.png,55.622592,68.552411,0.999314,0.999951,0.999632
00016.png,58.766448,67.095457,0.999597,0.999987,0.999792
00017.png,57.537565,69.178936,0.999608,0.999981,0.999794
00018.png,52.689582,66.283766,0.999512,0.999777,0.999645
00019.png,55.601983,71.444602,0.999498,0.999987,0.999742
00020.png,56.893500,72.077508,0.999651,0.999996,0.999823
00021.png,57.914987,73.688928,0.999610,0.999994,0.999802
00022.png,56.169454,70.227536,0.999550,0.999995,0.999773
00023.png,53.026593,68.856261,0.998919,0.999923,0.999421
00024.png,54.361452,66.600279,0.999660,0.999945,0.999803
00025.png,57.435716,68.634574,0.999773,0.999978,0.999876
00026.png,54.312601,69.008515,0.999667,0.999971,0.999819
00027.png,62.766987,69.907592,0.999769,0.999991,0.999880
00028.png,46.813904,61.331583,0.999283,0.999183,0.999233
00029.png,55.860859,70.585798,0.999505,0.999987,0.999746
00030.png,51.986099,69.347541,0.999164,0.999860,0.999512
00031.png,59.047300,71.444602,0.999638,0.999994,0.999816
00032.png,59.780824,69.029180,0.999615,0.999991,0.999803
00033.png,61.623655,73.683966,0.999694,0.999995,0.999844
00034.png,58.270374,70.362281,0.999694,0.999973,0.999834
00035.png,50.652504,66.889297,0.999385,0.999847,0.999616
00036.png,55.941689,66.753781,0.999597,0.999975,0.999786
00037.png,57.386156,70.689066,0.999748,0.999977,0.999862
00038.png,60.106084,73.710328,0.999396,0.999995,0.999695
00039.png,56.718194,75.669000,0.999547,0.999998,0.999773
00040.png,62.080112,66.927430,0.999816,0.999986,0.999901
00041.png,56.906009,68.405381,0.999726,0.999971,0.999849
00042.png,59.870752,69.984549,0.999730,0.999993,0.999862
00043.png,54.538715,68.451808,0.998684,0.999960,0.999322
00044.png,61.616471,73.032244,0.999594,0.999996,0.999795
00045.png,53.520370,69.536484,0.999568,0.999846,0.999707
00046.png,56.073150,70.750711,0.999814,0.999978,0.999896
00047.png,55.378552,69.056602,0.999499,0.999962,0.999730
00048.png,54.529012,71.560429,0.999427,0.999950,0.999689
00049.png,53.614901,71.533750,0.999627,0.999985,0.999806
00050.png,57.752758,69.439678,0.999640,0.999989,0.999814
00051.png,56.993948,70.318423,0.999440,0.999974,0.999707
00052.png,50.256751,64.318376,0.998470,0.999332,0.998901
00053.png,55.084870,70.090122,0.999298,0.999960,0.999629
00054.png,55.258627,71.051101,0.999708,0.999971,0.999840
00055.png,60.105888,73.089813,0.999754,0.999996,0.999875
00056.png,46.440934,61.132949,0.998242,0.998583,0.998412
00057.png,59.491077,72.952322,0.999407,0.999995,0.999701
00058.png,53.585740,71.365091,0.999028,0.999970,0.999499
00059.png,54.554314,69.694066,0.999539,0.999981,0.999760
00060.png,54.572487,71.217325,0.999792,0.999978,0.999885
00061.png,52.375801,67.622893,0.999603,0.999935,0.999769
00062.png,62.954166,70.203662,0.999879,0.999990,0.999935
00063.png,63.929496,75.365036,0.999878,0.999996,0.999937
00064.png,61.276285,68.922185,0.999736,0.999992,0.999864
00065.png,60.725797,71.121170,0.999874,0.999992,0.999933
00066.png,58.361046,73.293454,0.999592,0.999991,0.999792
00067.png,56.151667,68.498436,0.999527,0.999935,0.999731
00068.png,59.949949,71.281301,0.999832,0.999974,0.999903
00069.png,56.101471,69.992596,0.999819,0.999987,0.999903
00070.png,54.825071,72.272631,0.999346,0.999987,0.999666
00071.png,55.626259,66.208182,0.999429,0.999953,0.999691
00072.png,55.748060,70.543484,0.999801,0.999970,0.999885
00073.png,55.220528,69.652514,0.999719,0.999936,0.999828
00074.png,61.958071,71.198538,0.999766,0.999992,0.999879
00075.png,56.892047,70.854922,0.999771,0.999992,0.999881
00076.png,53.659030,67.908292,0.999646,0.999948,0.999797
00077.png,63.240522,71.231116,0.999734,0.999992,0.999863
00078.png,60.355731,70.825809,0.999851,0.999991,0.999921
00079.png,58.426699,67.414862,0.999786,0.999980,0.999883
00080.png,62.262145,75.602931,0.999860,0.999997,0.999929
00081.png,58.307514,72.122962,0.999880,0.999994,0.999937
00082.png,57.236554,68.362211,0.999473,0.999983,0.999728
00083.png,49.470350,65.732432,0.998353,0.999734,0.999043
00084.png,50.965088,66.561245,0.999301,0.999726,0.999513
00085.png,49.124655,66.742434,0.998925,0.999777,0.999351
00086.png,56.352688,70.002569,0.999499,0.999954,0.999726
00087.png,53.021009,67.317729,0.999501,0.999907,0.999704
00088.png,55.318851,72.514275,0.999334,0.999963,0.999649
00089.png,55.537921,67.894019,0.999214,0.999958,0.999586
00090.png,53.986959,69.682802,0.999556,0.999966,0.999761
00091.png,53.373629,69.957763,0.998765,0.999925,0.999345
00092.png,55.560581,73.150347,0.999689,0.999978,0.999833
00093.png,59.025836,70.516857,0.999530,0.999981,0.999755
00094.png,59.493306,73.427858,0.999571,0.999991,0.999781
00095.png,53.859694,66.829648,0.999715,0.999947,0.999831
00096.png,59.925128,66.545787,0.999549,0.999984,0.999766
