img_name,psnr_c,psnr_r,ssim_c,ssim_r,ssim_avg
0001.png,50.539725,54.218653,0.997841,0.986849,0.992345
0002.png,48.371368,54.677981,0.994331,0.988211,0.991271
0003.png,50.920560,54.230549,0.996142,0.985409,0.990776
0004.png,46.720349,53.308013,0.996541,0.984540,0.990540
0005.png,50.666647,53.824584,0.997760,0.983330,0.990545
0006.png,43.001014,52.111989,0.993483,0.978181,0.985832
0007.png,32.466039,46.377082,0.966934,0.932437,0.949685
0008.png,46.651783,53.512217,0.995061,0.984797,0.989929
0009.png,51.831879,55.107715,0.998091,0.988793,0.993442
0010.png,52.207160,55.708338,0.999261,0.990969,0.995115
0011.png,50.382540,55.796779,0.997888,0.991265,0.994576
0012.png,49.345574,54.063576,0.997121,0.988022,0.992572
0013.png,51.610837,54.714989,0.998584,0.987681,0.993133
0014.png,48.178690,54.852093,0.998415,0.988591,0.993503
0015.png,47.112232,54.417823,0.994669,0.988034,0.991351
0016.png,50.511221,54.411867,0.997163,0.987974,0.992569
0017.png,49.933161,54.625342,0.997414,0.988586,0.993000
0018.png,44.916322,52.551178,0.996415,0.979131,0.987773
0019.png,48.041363,54.618302,0.996908,0.989960,0.993434
0020.png,48.955281,53.036681,0.997458,0.983290,0.990374
0021.png,49.328953,54.995926,0.996264,0.988848,0.992556
0022.png,48.665198,55.038040,0.997202,0.989828,0.993515
0023.png,45.859887,52.759614,0.995405,0.979201,0.987303
0024.png,47.103469,53.482153,0.997932,0.983833,0.990883
0025.png,49.238460,54.261999,0.998410,0.986626,0.992518
0026.png,47.361520,53.456163,0.997917,0.983731,0.990824
0027.png,53.743516,57.218545,0.998153,0.995773,0.996963
0028.png,38.558055,49.626519,0.994250,0.959643,0.976946
0029.png,49.061783,54.792773,0.997597,0.988337,0.992967
0030.png,44.527560,52.759450,0.995044,0.981401,0.988223
0031.png,50.951552,55.567576,0.997530,0.991266,0.994398
0032.png,51.078203,55.373186,0.996917,0.990738,0.993827
0033.png,53.755306,53.821451,0.998271,0.981693,0.989982
0034.png,49.937843,54.577394,0.997692,0.987322,0.992507
0035.png,44.186378,53.205981,0.997325,0.983892,0.990608
0036.png,48.072483,53.704375,0.997387,0.986110,0.991748
0037.png,49.365570,54.664542,0.998126,0.989876,0.994001
0038.png,51.821584,55.585587,0.995987,0.990487,0.993237
