img_name,psnr_c,psnr_r,ssim_c,ssim_r,ssim_avg
00001.png,53.233377,68.383376,0.998962,0.999959,0.999461
00002.png,50.828678,68.884251,0.996787,0.999949,0.998368
00003.png,53.716848,69.315686,0.998037,0.999987,0.999012
00004.png,49.082011,65.345799,0.998039,0.999901,0.998970
00005.png,52.964200,71.575356,0.998708,0.999992,0.999350
00006.png,45.109487,63.601592,0.996088,0.999179,0.997634
00007.png,33.860389,52.143267,0.975492,0.984942,0.980217
00008.png,48.796939,66.662940,0.996719,0.999889,0.998304
00009.png,55.006941,72.341611,0.999080,0.999990,0.999535
00010.png,55.038331,72.554997,0.999661,0.999991,0.999826
00011.png,52.728299,74.812405,0.998833,0.999985,0.999409
00012.png,51.665478,63.724319,0.998378,0.999976,0.999177
00013.png,54.277008,69.561937,0.999294,0.999970,0.999632
00014.png,50.782984,69.815257,0.999172,0.999933,0.999553
00015.png,49.506322,65.867060,0.996799,0.999830,0.998314
00016.png,53.545572,65.076176,0.998524,0.999982,0.999253
00017.png,52.491527,67.685240,0.998590,0.999969,0.999280
00018.png,46.912887,64.437703,0.997899,0.999638,0.998769
00019.png,50.196237,68.139549,0.998140,0.999962,0.999051
00020.png,51.366062,69.578283,0.998518,0.999986,0.999252
00021.png,51.810807,70.913742,0.998071,0.999956,0.999014
00022.png,50.799349,68.826829,0.998281,0.999992,0.999136
00023.png,47.781331,66.582651,0.996850,0.999820,0.998335
00024.png,49.291753,64.142037,0.998827,0.999835,0.999331
00025.png,51.670921,66.751972,0.999109,0.999947,0.999528
00026.png,49.710483,66.849131,0.998853,0.999893,0.999373
00027.png,57.275438,67.350827,0.999173,0.999978,0.999576
00028.png,40.749296,58.115297,0.997498,0.996717,0.997107
00029.png,51.352946,69.554841,0.998568,0.999964,0.999266
00030.png,46.538390,66.098470,0.996880,0.999626,0.998253
00031.png,53.720817,69.796173,0.998730,0.999989,0.999359
00032.png,53.746941,67.501060,0.998378,0.999985,0.999181
00033.png,57.134476,74.105437,0.999268,0.999995,0.999632
00034.png,52.546993,68.154237,0.998868,0.999939,0.999403
00035.png,45.790788,65.131463,0.998306,0.999791,0.999048
00036.png,50.630511,64.968404,0.998537,0.999901,0.999219
00037.png,51.830982,68.116921,0.999007,0.999967,0.999487
00038.png,54.689755,72.069978,0.997781,0.999992,0.998886
00039.png,51.138434,73.981544,0.998260,0.999991,0.999126
00040.png,56.164860,65.890898,0.999311,0.999979,0.999645
00041.png,51.196516,64.878885,0.998611,0.999903,0.999257
00042.png,53.662335,68.095231,0.999035,0.999988,0.999511
00043.png,49.568142,66.409920,0.995804,0.999919,0.997862
00044.png,56.309731,69.574239,0.998750,0.999982,0.999366
00045.png,48.104345,68.531921,0.998787,0.999797,0.999292
00046.png,51.808791,68.900374,0.999347,0.999937,0.999642
00047.png,49.352436,66.743437,0.997872,0.999849,0.998861
00048.png,48.660178,67.432341,0.997495,0.999727,0.998611
00049.png,48.358927,68.075012,0.998667,0.999882,0.999274
00050.png,52.536864,64.764635,0.998845,0.999946,0.999395
00051.png,50.999896,66.276734,0.997273,0.999893,0.998583
00052.png,43.304570,61.284097,0.992521,0.998200,0.995361
00053.png,49.686814,67.287950,0.997240,0.999864,0.998552
00054.png,49.873910,68.526927,0.998715,0.999944,0.999329
00055.png,54.364833,70.371753,0.999033,0.999990,0.999512
00056.png,39.648767,58.538983,0.991748,0.996791,0.994269
00057.png,55.100961,71.994382,0.998366,0.999991,0.999178
00058.png,47.545066,67.985976,0.995855,0.999843,0.997849
00059.png,49.311413,67.507394,0.998398,0.999975,0.999186
00060.png,49.298568,68.832505,0.999334,0.999911,0.999623
00061.png,47.146164,64.290461,0.998535,0.999645,0.999090
00062.png,56.687705,69.114221,0.999284,0.999989,0.999637
00063.png,56.928445,71.510239,0.999239,0.999987,0.999613
00064.png,55.668953,66.093631,0.999276,0.999980,0.999628
00065.png,54.927790,68.262028,0.999423,0.999978,0.999700
00066.png,51.741567,69.914248,0.998268,0.999957,0.999113
00067.png,50.362816,65.840988,0.998304,0.999864,0.999084
00068.png,54.602509,69.126878,0.999468,0.999923,0.999696
00069.png,51.814178,68.666630,0.999445,0.999977,0.999711
00070.png,49.513992,70.231565,0.997695,0.999961,0.998828
